profile,index,x,y,z,label,baseX,baseY,baseZ,offX,offY,offZ
"Hand in Orange orb from red side","8","42897","35043","48449","","42247","35040","47089","650","3","1360"
"Hand in Orange orb from red side","9","42247","35040","47089","","42247","35040","47089","0","0","0"
"Pickup orange in purple hand to red","1","52694","35215","51857","","52694","34950","46392","0","265","5465"
"Pickup orange in purple hand to red","2","52894","35276","52730","","52694","34950","46392","200","326","6338"
"Pickup orange in purple hand to red","3","54042","35127","54885","","52694","34950","46392","1348","177","8493"
"Pickup orange in purple hand to red","4","53654","35140","57007","","52694","34950","46392","960","190","10615"
"Pickup orange in purple hand to red","5","54332","35201","58504","","52694","34950","46392","1638","251","12112"
"Pickup orange in purple hand to red","6","56639","34950","59132","","52694","34950","46392","3945","0","12740"
"Pickup orange in purple hand to red","7","58874","34975","59104","","52694","34950","46392","6180","25","12712"
"Pickup orange in purple hand to red","8","57906","35150","57111","","52694","34950","46392","5212","200","10719"
"Pickup orange in purple hand to red","9","58627","35143","55398","","52694","34950","46392","5933","193","9006"
"Pickup orange in purple hand to red","10","59546","35277","53908","","52694","34950","46392","6852","327","7516"
"Pickup orange in purple hand to red","11","59420","35278","52535","","52694","34950","46392","6726","328","6143"
"Pickup orange in purple hand to red","12","58944","35116","50403","","52694","34950","46392","6250","166","4011"
"Pickup orange in purple hand to red","13","59401","35082","48928","","52694","34950","46392","6707","132","2536"
"Pickup orange in purple hand to red","14","59134","35015","46392","","52694","34950","46392","6440","65","0"
"Pickup orange in red hand to purple","1","50060","35004","45008","","38845","34750","36420","11215","254","8588"
"Pickup orange in red hand to purple","2","50095","34750","41106","","38845","34750","36420","11250","0","4686"
"Pickup orange in red hand to purple","3","48796","35979","38503","","38845","34750","36420","9951","1229","2083"
"Pickup orange in red hand to purple","4","46116","35504","36420","","38845","34750","36420","7271","754","0"
"Pickup orange in red hand to purple","5","42102","36305","36687","","38845","34750","36420","3257","1555","267"
"Pickup orange in red hand to purple","6","38845","36387","37938","","38845","34750","36420","0","1637","1518"
"Pickup orange in red hand to purple","7","53896","35234","41529","","38845","34750","36420","15051","484","5109"
"Pickup orange in red hand to purple","8","57449","34897","41806","","38845","34750","36420","18604","147","5386"
"Pickup orange in red hand to purple","9","58414","34904","45025","","38845","34750","36420","19569","154","8605"
"Pickup orange in red hand to purple","10","57775","35083","46797","","38845","34750","36420","18930","333","10377"
"Lamps in purple","1","52773","35275","52806","","51014","34951","48430","1759","324","4376"
"Lamps in purple","2","53683","35275","51605","","51014","34951","48430","2669","324","3175"
"Lamps in purple","3","56990","35104","53205","","51014","34951","48430","5976","153","4775"
"Lamps in purple","4","57491","35046","48430","","51014","34951","48430","6477","95","0"
"Lamps in purple","5","56720","34951","59314","","51014","34951","48430","5706","0","10884"
"Lamps in purple","6","51014","35181","56877","","51014","34951","48430","0","230","8447"
"Pickup purple in red hand to orange","1","50131","35004","44956","","40196","34750","36569","9935","254","8387"
"Pickup purple in red hand to orange","2","50096","34750","41094","","40196","34750","36569","9900","0","4525"
"Pickup purple in red hand to orange","3","53896","35234","41529","","40196","34750","36569","13700","484","4960"
"Pickup purple in red hand to orange","4","57448","34897","41807","","40196","34750","36569","17252","147","5238"
"Pickup purple in red hand to orange","5","57770","35888","37351","","40196","34750","36569","17574","1138","782"
"Pickup purple in red hand to orange","6","59027","36245","36569","","40196","34750","36569","18831","1495","0"
"Pickup purple in red hand to orange","7","61357","36362","38549","","40196","34750","36569","21161","1612","1980"
"Pickup purple in red hand to orange","8","58860","36357","40152","","40196","34750","36569","18664","1607","3583"
"Pickup purple in red hand to orange","9","57257","35118","39620","","40196","34750","36569","17061","368","3051"
"Pickup purple in red hand to orange","10","46202","35168","41728","","40196","34750","36569","6006","418","5159"
"Pickup purple in red hand to orange","11","42957","35168","41334","","40196","34750","36569","2761","418","4765"
"Pickup purple in red hand to orange","12","42478","34894","45377","","40196","34750","36569","2282","144","8808"
"Pickup purple in red hand to orange","13","40196","35025","46452","","40196","34750","36569","0","275","9883"
"Pickup red in orange hand to purple","1","47385","35054","51754","","39634","35054","51754","7751","0","0"
"Pickup red in orange hand to purple","2","47218","35085","53451","","39634","35054","51754","7584","31","1697"
"Pickup red in orange hand to purple","3","46420","35102","54545","","39634","35054","51754","6786","48","2791"
"Pickup red in orange hand to purple","4","44869","35109","55100","","39634","35054","51754","5235","55","3346"
"Pickup red in orange hand to purple","5","43040","35191","55027","","39634","35054","51754","3406","137","3273"
"Pickup red in orange hand to purple","6","41603","35173","54737","","39634","35054","51754","1969","119","2983"
"Pickup red in orange hand to purple","7","40296","35416","55907","","39634","35054","51754","662","362","4153"
"Pickup red in orange hand to purple","8","41095","35988","57129","","39634","35054","51754","1461","934","5375"
"Pickup red in orange hand to purple","9","42497","36765","58814","","39634","35054","51754","2863","1711","7060"
"Pickup red in orange hand to purple","10","39634","36912","59043","","39634","35054","51754","0","1858","7289"
"Pickup red in orange hand to purple","11","45977","35088","56804","","39634","35054","51754","6343","34","5050"
"Pickup red in orange hand to purple","12","46944","35111","57290","","39634","35054","51754","7310","57","5536"
"Pickup red in orange hand to purple","13","48534","35063","56967","","39634","35054","51754","8900","9","5213"
"Pickup red in orange hand to purple","14","50048","35057","56657","","39634","35054","51754","10414","3","4903"
"Hand in Purple orb from Orange side","1","52871","35241","52028","","50357","35065","52028","2514","176","0"
"Hand in Purple orb from Orange side","2","53331","35277","52736","","50357","35065","52028","2974","212","708"
"Hand in Purple orb from Orange side","3","53882","35186","54805","","50357","35065","52028","3525","121","2777"
"Hand in Purple orb from Orange side","4","53551","35077","56376","","50357","35065","52028","3194","12","4348"
"Hand in Purple orb from Orange side","5","51995","35196","56016","","50357","35065","52028","1638","131","3988"
"Hand in Purple orb from Orange side","6","50357","35065","56955","","50357","35065","52028","0","0","4927"
"Hand In red orb from purple side","1","50095","35004","45365","","48794","34750","35822","1301","254","9543"
"Hand In red orb from purple side","2","50093","34750","41094","","48794","34750","35822","1299","0","5272"
"Hand In red orb from purple side","3","48794","35979","38505","","48794","34750","35822","0","1229","2683"
"Hand In red orb from purple side","4","50584","36489","35822","","48794","34750","35822","1790","1739","0"
"Hand In red orb from purple side","5","53896","35234","41529","","48794","34750","35822","5102","484","5707"
"Hand In red orb from purple side","6","54338","35234","41059","","48794","34750","35822","5544","484","5237"
"Hand In red orb from purple side","7","57449","34897","41803","","48794","34750","35822","8655","147","5981"
"Hand In red orb from purple side","8","58412","34904","45026","","48794","34750","35822","9618","154","9204"
"Orange orb from red trough purple hand to orange","1","52444","35117","51722","","50290","34950","47207","2154","167","4515"
"Orange orb from red trough purple hand to orange","2","53768","35276","51724","","50290","34950","47207","3478","326","4517"
"Orange orb from red trough purple hand to orange","3","55254","35278","51972","","50290","34950","47207","4964","328","4765"
"Orange orb from red trough purple hand to orange","4","57118","35051","51226","","50290","34950","47207","6828","101","4019"
"Orange orb from red trough purple hand to orange","5","56857","35074","49739","","50290","34950","47207","6567","124","2532"
"Orange orb from red trough purple hand to orange","6","57391","35020","48216","","50290","34950","47207","7101","70","1009"
"Orange orb from red trough purple hand to orange","7","58471","35095","47207","","50290","34950","47207","8181","145","0"
"Orange orb from red trough purple hand to orange","8","59375","35049","48215","","50290","34950","47207","9085","99","1008"
"Orange orb from red trough purple hand to orange","9","59323","35093","49740","","50290","34950","47207","9033","143","2533"
"Orange orb from red trough purple hand to orange","10","58892","35149","51122","","50290","34950","47207","8602","199","3915"
"Orange orb from red trough purple hand to orange","11","59036","35292","52787","","50290","34950","47207","8746","342","5580"
"Orange orb from red trough purple hand to orange","12","59021","35276","54634","","50290","34950","47207","8731","326","7427"
"Orange orb from red trough purple hand to orange","13","58070","35143","56256","","50290","34950","47207","7780","193","9049"
"Orange orb from red trough purple hand to orange","14","56718","34950","58174","","50290","34950","47207","6428","0","10967"
"Orange orb from red trough purple hand to orange","15","55031","35135","58589","","50290","34950","47207","4741","185","11382"
"Orange orb from red trough purple hand to orange","16","53018","35373","58769","","50290","34950","47207","2728","423","11562"
"Orange orb from red trough purple hand to orange","17","51470","35377","59075","","50290","34950","47207","1180","427","11868"
"Orange orb from red trough purple hand to orange","18","50290","35153","57603","","50290","34950","47207","0","203","10396"
"Hand in Orange orb from Purple","1","47195","35051","51646","","44610","35051","51646","2585","0","0"
"Hand in Orange orb from Purple","2","47118","35081","53178","","44610","35051","51646","2508","30","1532"
"Hand in Orange orb from Purple","3","46613","35088","54361","","44610","35051","51646","2003","37","2715"
"Hand in Orange orb from Purple","4","45030","35091","55140","","44610","35051","51646","420","40","3494"
"Hand in Orange orb from Purple","5","44610","35161","54210","","44610","35051","51646","0","110","2564"
"Hand in Orange orb from Purple","6","45228","35408","52627","","44610","35051","51646","618","357","981"
"Hand in Orange orb from Purple","7","45772","35124","56447","","44610","35051","51646","1162","73","4801"
"Hand in Orange orb from Purple","8","47285","35106","57084","","44610","35051","51646","2675","55","5438"
"Hand in Orange orb from Purple","9","49795","35058","56942","","44610","35051","51646","5185","7","5296"
"Red orb from orange trough purple hand to red","1","52303","35025","51538","","50332","34950","46541","1971","75","4997"
"Red orb from orange trough purple hand to red","2","52765","35275","52586","","50332","34950","46541","2433","325","6045"
"Red orb from orange trough purple hand to red","3","53659","35287","54203","","50332","34950","46541","3327","337","7662"
"Red orb from orange trough purple hand to red","4","53707","35069","55884","","50332","34950","46541","3375","119","9343"
"Red orb from orange trough purple hand to red","5","52467","35150","56033","","50332","34950","46541","2135","200","9492"
"Red orb from orange trough purple hand to red","6","50332","35067","57035","","50332","34950","46541","0","117","10494"
"Red orb from orange trough purple hand to red","7","51069","35399","58235","","50332","34950","46541","737","449","11694"
"Red orb from orange trough purple hand to red","8","52461","35376","58870","","50332","34950","46541","2129","426","12329"
"Red orb from orange trough purple hand to red","9","54527","35187","58714","","50332","34950","46541","4195","237","12173"
"Red orb from orange trough purple hand to red","10","56605","34950","57678","","50332","34950","46541","6273","0","11137"
"Red orb from orange trough purple hand to red","11","57865","35202","56568","","50332","34950","46541","7533","252","10027"
"Red orb from orange trough purple hand to red","12","59306","35275","54309","","50332","34950","46541","8974","325","7768"
"Red orb from orange trough purple hand to red","13","59150","35279","52662","","50332","34950","46541","8818","329","6121"
"Red orb from orange trough purple hand to red","14","58595","35091","51046","","50332","34950","46541","8263","141","4505"
"Red orb from orange trough purple hand to red","15","59144","35102","49594","","50332","34950","46541","8812","152","3053"
"Red orb from orange trough purple hand to red","16","59259","35035","47842","","50332","34950","46541","8927","85","1301"
"Red orb from orange trough purple hand to red","17","59051","35026","46541","","50332","34950","46541","8719","76","0"
"Pickup purple in orange hand to red","1","47880","35025","51308","","39638","35015","46735","8242","10","4573"
"Pickup purple in orange hand to red","2","46668","35051","51924","","39638","35015","46735","7030","36","5189"
"Pickup purple in orange hand to red","3","45413","35127","50438","","39638","35015","46735","5775","112","3703"
"Pickup purple in orange hand to red","4","43812","35081","50589","","39638","35015","46735","4174","66","3854"
"Pickup purple in orange hand to red","5","42714","35160","51685","","39638","35015","46735","3076","145","4950"
"Pickup purple in orange hand to red","6","41608","35074","53650","","39638","35015","46735","1970","59","6915"
"Pickup purple in orange hand to red","7","40370","35429","55906","","39638","35015","46735","732","414","9171"
"Pickup purple in orange hand to red","8","42019","36465","57925","","39638","35015","46735","2381","1450","11190"
"Pickup purple in orange hand to red","9","42075","36889","59436","","39638","35015","46735","2437","1874","12701"
"Pickup purple in orange hand to red","10","39638","36908","59040","","39638","35015","46735","0","1893","12305"
"Pickup purple in orange hand to red","11","39767","36819","57433","","39638","35015","46735","129","1804","10698"
"Pickup purple in orange hand to red","12","40633","35015","52325","","39638","35015","46735","995","0","5590"
"Pickup purple in orange hand to red","13","40011","35132","50612","","39638","35015","46735","373","117","3877"
"Pickup purple in orange hand to red","14","40230","35130","48966","","39638","35015","46735","592","115","2231"
"Pickup purple in orange hand to red","15","41108","35061","46904","","39638","35015","46735","1470","46","169"
"Pickup purple in orange hand to red","16","42379","35141","46735","","39638","35015","46735","2741","126","0"
"Hand in red orb from orange side","1","50125","35028","47049","","42479","34750","35822","7646","278","11227"
"Hand in red orb from orange side","2","50081","35004","45085","","42479","34750","35822","7602","254","9263"
"Hand in red orb from orange side","3","50095","34750","41094","","42479","34750","35822","7616","0","5272"
"Hand in red orb from orange side","4","48774","35979","38516","","42479","34750","35822","6295","1229","2694"
"Hand in red orb from orange side","5","50584","36489","35822","","42479","34750","35822","8105","1739","0"
"Hand in red orb from orange side","6","49424","36470","36143","","42479","34750","35822","6945","1720","321"
"Hand in red orb from orange side","7","46144","35504","36344","","42479","34750","35822","3665","754","522"
"Hand in red orb from orange side","8","45972","35530","36916","","42479","34750","35822","3493","780","1094"
"Hand in red orb from orange side","9","42915","35168","41255","","42479","34750","35822","436","418","5433"
"Hand in red orb from orange side","10","42479","34894","45377","","42479","34750","35822","0","144","9555"
"Purple orb from Orange through Red hand to Purple","1","50141","35027","47049","","41318","34750","40822","8823","277","6227"
"Purple orb from Orange through Red hand to Purple","2","50135","35004","45029","","41318","34750","40822","8817","254","4207"
"Purple orb from Orange through Red hand to Purple","3","50094","34750","41094","","41318","34750","40822","8776","0","272"
"Purple orb from Orange through Red hand to Purple","4","49480","34755","40822","","41318","34750","40822","8162","5","0"
"Purple orb from Orange through Red hand to Purple","5","46202","35168","41728","","41318","34750","40822","4884","418","906"
"Purple orb from Orange through Red hand to Purple","6","45922","35170","41074","","41318","34750","40822","4604","420","252"
"Purple orb from Orange through Red hand to Purple","7","42957","35168","41328","","41318","34750","40822","1639","418","506"
"Purple orb from Orange through Red hand to Purple","8","42488","34893","45377","","41318","34750","40822","1170","143","4555"
"Purple orb from Orange through Red hand to Purple","9","41318","35026","46396","","41318","34750","40822","0","276","5574"
"Purple orb from Orange through Red hand to Purple","10","53896","35234","41529","","41318","34750","40822","12578","484","707"
"Purple orb from Orange through Red hand to Purple","11","50675","34752","41128","","41318","34750","40822","9357","2","306"
"Purple orb from Orange through Red hand to Purple","12","54336","35234","41155","","41318","34750","40822","13018","484","333"
"Purple orb from Orange through Red hand to Purple","13","57449","34897","41806","","41318","34750","40822","16131","147","984"
"Purple orb from Orange through Red hand to Purple","14","58092","34911","42439","","41318","34750","40822","16774","161","1617"
"Purple orb from Orange through Red hand to Purple","15","58428","34903","45022","","41318","34750","40822","17110","153","4200"
"Purple orb from Orange through Red hand to Purple","16","58683","34988","46254","","41318","34750","40822","17365","238","5432"
"Orange orb from purple trough red hand to orange","1","50058","35029","46621","","41393","34284","39964","8665","745","6657"
"Orange orb from purple trough red hand to orange","2","50114","35004","44970","","41393","34284","39964","8721","720","5006"
"Orange orb from purple trough red hand to orange","3","53654","34284","42832","","41393","34284","39964","12261","0","2868"
"Orange orb from purple trough red hand to orange","4","54544","34288","43013","","41393","34284","39964","13151","4","3049"
"Orange orb from purple trough red hand to orange","5","57453","34897","41863","","41393","34284","39964","16060","613","1899"
"Orange orb from purple trough red hand to orange","6","58362","34911","42461","","41393","34284","39964","16969","627","2497"
"Orange orb from purple trough red hand to orange","7","58437","34902","45022","","41393","34284","39964","17044","618","5058"
"Orange orb from purple trough red hand to orange","8","58720","35027","46416","","41393","34284","39964","17327","743","6452"
"Orange orb from purple trough red hand to orange","9","57267","35032","39964","","41393","34284","39964","15874","748","0"
"Orange orb from purple trough red hand to orange","10","53896","35234","41529","","41393","34284","39964","12503","950","1565"
"Orange orb from purple trough red hand to orange","11","53077","35237","41096","","41393","34284","39964","11684","953","1132"
"Orange orb from purple trough red hand to orange","12","50190","34750","40998","","41393","34284","39964","8797","466","1034"
"Orange orb from purple trough red hand to orange","13","49424","34755","40881","","41393","34284","39964","8031","471","917"
"Orange orb from purple trough red hand to orange","14","46202","35168","41728","","41393","34284","39964","4809","884","1764"
"Orange orb from purple trough red hand to orange","15","45945","35167","41092","","41393","34284","39964","4552","883","1128"
"Orange orb from purple trough red hand to orange","16","42957","35168","41329","","41393","34284","39964","1564","884","1365"
"Orange orb from purple trough red hand to orange","17","42489","34893","45377","","41393","34284","39964","1096","609","5413"
"Orange orb from purple trough red hand to orange","18","41393","35024","46390","","41393","34284","39964","0","740","6426"
"Red orb from purple trough orange hand to red","1","47531","35025","51600","","39845","35025","46553","7686","0","5047"
"Red orb from purple trough orange hand to red","2","47248","35078","53165","","39845","35025","46553","7403","53","6612"
"Red orb from purple trough orange hand to red","3","47879","35129","55048","","39845","35025","46553","8034","104","8495"
"Red orb from purple trough orange hand to red","4","48843","35062","56750","","39845","35025","46553","8998","37","10197"
"Red orb from purple trough orange hand to red","5","49399","35274","57819","","39845","35025","46553","9554","249","11266"
"Red orb from purple trough orange hand to red","6","48527","35276","59153","","39845","35025","46553","8682","251","12600"
"Red orb from purple trough orange hand to red","7","46376","35103","58365","","39845","35025","46553","6531","78","11812"
"Red orb from purple trough orange hand to red","8","45790","35119","56419","","39845","35025","46553","5945","94","9866"
"Red orb from purple trough orange hand to red","9","44862","35100","55011","","39845","35025","46553","5017","75","8458"
"Red orb from purple trough orange hand to red","10","43172","35178","54939","","39845","35025","46553","3327","153","8386"
"Red orb from purple trough orange hand to red","11","41863","35058","53823","","39845","35025","46553","2018","33","7270"
"Red orb from purple trough orange hand to red","12","41297","35040","52530","","39845","35025","46553","1452","15","5977"
"Red orb from purple trough orange hand to red","13","39845","35121","51450","","39845","35025","46553","0","96","4897"
"Red orb from purple trough orange hand to red","14","40273","35115","50325","","39845","35025","46553","428","90","3772"
"Red orb from purple trough orange hand to red","15","40424","35100","49003","","39845","35025","46553","579","75","2450"
"Red orb from purple trough orange hand to red","16","40089","35026","46553","","39845","35025","46553","244","1","0"
"Purple orb from red trough orange hand to pruple","1","47686","35025","51486","","40095","35023","46427","7591","2","5059"
"Purple orb from red trough orange hand to pruple","2","45605","35118","50803","","40095","35023","46427","5510","95","4376"
"Purple orb from red trough orange hand to pruple","3","44262","35111","50503","","40095","35023","46427","4167","88","4076"
"Purple orb from red trough orange hand to pruple","4","42610","35049","50244","","40095","35023","46427","2515","26","3817"
"Purple orb from red trough orange hand to pruple","5","42913","35039","48788","","40095","35023","46427","2818","16","2361"
"Purple orb from red trough orange hand to pruple","6","42344","35059","47299","","40095","35023","46427","2249","36","872"
"Purple orb from red trough orange hand to pruple","7","40095","35030","46427","","40095","35023","46427","0","7","0"
"Purple orb from red trough orange hand to pruple","8","40372","35116","48768","","40095","35023","46427","277","93","2341"
"Purple orb from red trough orange hand to pruple","9","40249","35115","50499","","40095","35023","46427","154","92","4072"
"Purple orb from red trough orange hand to pruple","10","40441","35023","52261","","40095","35023","46427","346","0","5834"
"Purple orb from red trough orange hand to pruple","11","41763","35058","53799","","40095","35023","46427","1668","35","7372"
"Purple orb from red trough orange hand to pruple","12","43042","35195","55044","","40095","35023","46427","2947","172","8617"
"Purple orb from red trough orange hand to pruple","13","44880","35106","55091","","40095","35023","46427","4785","83","8664"
"Purple orb from red trough orange hand to pruple","14","45775","35122","56255","","40095","35023","46427","5680","99","9828"
"Purple orb from red trough orange hand to pruple","15","47052","35103","57156","","40095","35023","46427","6957","80","10729"
"Purple orb from red trough orange hand to pruple","16","48738","35054","56885","","40095","35023","46427","8643","31","10458"
"Purple orb from red trough orange hand to pruple","17","49884","35071","56600","","40095","35023","46427","9789","48","10173"
